poblacion,0-14,primario,secundario,polimodal,lee_y _esc,NoLee_ni_e
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
668.0,212.0,88.0,88.0,26.0,562.0,62.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
669.0,106.0,100.0,178.0,13.0,624.0,22.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
643.0,94.0,58.0,93.0,25.0,598.0,22.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
714.0,141.0,96.0,184.0,35.0,649.0,32.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
825.0,122.0,141.0,235.0,37.0,771.0,29.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
656.0,103.0,120.0,189.0,22.0,617.0,19.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
764.0,129.0,125.0,170.0,27.0,704.0,27.0
541.0,129.0,131.0,162.0,31.0,493.0,23.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
935.0,183.0,220.0,293.0,69.0,852.0,41.0
935.0,183.0,220.0,293.0,69.0,852.0,41.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
958.0,207.0,174.0,276.0,73.0,868.0,45.0
878.0,123.0,115.0,181.0,41.0,831.0,25.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
1174.0,342.0,514.0,271.0,70.0,1008.0,81.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
510.0,76.0,51.0,110.0,20.0,478.0,16.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
935.0,183.0,220.0,293.0,69.0,852.0,41.0
770.0,143.0,168.0,212.0,33.0,712.0,27.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1179.0,213.0,95.0,138.0,71.0,1106.0,41.0
985.0,161.0,166.0,198.0,47.0,915.0,35.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
1190.0,208.0,76.0,141.0,61.0,1120.0,44.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
666.0,91.0,81.0,165.0,42.0,625.0,14.0
485.0,67.0,68.0,131.0,24.0,448.0,21.0
485.0,67.0,68.0,131.0,24.0,448.0,21.0
485.0,67.0,68.0,131.0,24.0,448.0,21.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
1065.0,215.0,217.0,292.0,52.0,977.0,45.0
985.0,161.0,166.0,198.0,47.0,915.0,35.0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
1259.0,361.0,517.0,335.0,72.0,1101.0,83.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
763.0,172.0,173.0,224.0,22.0,681.0,40.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
517.0,108.0,146.0,161.0,19.0,467.0,30.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
1019.0,153.0,163.0,246.0,38.0,950.0,36.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
921.0,177.0,99.0,188.0,51.0,856.0,33.0
947.0,140.0,124.0,234.0,44.0,884.0,30.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
745.0,213.0,317.0,201.0,20.0,626.0,58.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
513.0,158.0,93.0,110.0,23.0,450.0,35.0
785.0,115.0,154.0,214.0,30.0,724.0,29.0
785.0,115.0,154.0,214.0,30.0,724.0,29.0
585.0,90.0,91.0,148.0,25.0,556.0,11.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
848.0,190.0,124.0,180.0,50.0,766.0,40.0
500.0,70.0,92.0,137.0,16.0,473.0,13.0
985.0,161.0,166.0,198.0,47.0,915.0,35.0
575.0,88.0,68.0,138.0,24.0,529.0,20.0
741.0,116.0,120.0,188.0,46.0,699.0,24.0
741.0,116.0,120.0,188.0,46.0,699.0,24.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
1026.0,324.0,512.0,192.0,45.0,859.0,93.0
1376.0,429.0,613.0,359.0,48.0,1157.0,116.0
612.0,125.0,111.0,172.0,28.0,553.0,27.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
785.0,115.0,154.0,214.0,30.0,724.0,29.0
785.0,115.0,154.0,214.0,30.0,724.0,29.0
676.0,76.0,88.0,151.0,30.0,639.0,17.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
853.0,138.0,113.0,190.0,32.0,799.0,31.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
583.0,137.0,103.0,186.0,22.0,514.0,36.0
876.0,157.0,229.0,261.0,57.0,810.0,35.0
876.0,157.0,229.0,261.0,57.0,810.0,35.0
876.0,157.0,229.0,261.0,57.0,810.0,35.0
831.0,138.0,134.0,217.0,30.0,775.0,36.0
831.0,138.0,134.0,217.0,30.0,775.0,36.0
947.0,140.0,124.0,234.0,44.0,884.0,30.0
612.0,105.0,68.0,120.0,19.0,578.0,15.0
12.0,1.0,3.0,0.0,3.0,12.0,0.0
620.0,101.0,79.0,156.0,29.0,577.0,22.0
620.0,101.0,79.0,156.0,29.0,577.0,22.0
730.0,137.0,153.0,236.0,19.0,669.0,34.0
