poblacion,0-14,primario,secundario,polimodal,lee_y _esc,NoLee_ni_e,punto_tipo_Rulero
821.0,230.0,285.0,226.0,73.0,702.0,72.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0,0
821.0,230.0,285.0,226.0,73.0,702.0,72.0,0
821.0,230.0,285.0,226.0,73.0,702.0,72.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0,0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0,0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0,0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0,0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0,0
1478.0,408.0,613.0,373.0,62.0,1283.0,112.0,0
668.0,212.0,88.0,88.0,26.0,562.0,62.0,0
878.0,123.0,115.0,181.0,41.0,831.0,25.0,0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
958.0,207.0,174.0,276.0,73.0,868.0,45.0,0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0,0
958.0,207.0,174.0,276.0,73.0,868.0,45.0,0
878.0,123.0,115.0,181.0,41.0,831.0,25.0,0
510.0,76.0,51.0,110.0,20.0,478.0,16.0,0
510.0,76.0,51.0,110.0,20.0,478.0,16.0,0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
643.0,94.0,58.0,93.0,25.0,598.0,22.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
656.0,103.0,120.0,189.0,22.0,617.0,19.0,0
1614.0,498.0,491.0,294.0,110.0,1374.0,142.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
1244.0,350.0,491.0,320.0,63.0,1054.0,108.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0,0
643.0,104.0,118.0,171.0,42.0,595.0,20.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
770.0,143.0,168.0,212.0,33.0,712.0,27.0,0
656.0,103.0,120.0,189.0,22.0,617.0,19.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
1587.0,470.0,492.0,295.0,166.0,1360.0,132.0,0
878.0,123.0,115.0,181.0,41.0,831.0,25.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
723.0,174.0,164.0,157.0,27.0,661.0,40.0,0
723.0,174.0,164.0,157.0,27.0,661.0,40.0,0
723.0,174.0,164.0,157.0,27.0,661.0,40.0,0
878.0,123.0,115.0,181.0,41.0,831.0,25.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
723.0,174.0,164.0,157.0,27.0,661.0,40.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
1018.0,182.0,216.0,274.0,39.0,922.0,58.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
796.0,127.0,124.0,222.0,33.0,738.0,30.0,0
